"Metaphor","SubMetaphor","Title","Year","Author","Where.pub","Is.journal","DOI","Citations.doi","Citations.count"
"Humans","Search and Rescue","A New Optimization Algorithm Based on Search and Rescue Operations",2019,"Amir Shabani; Behrouz Asgarian; Saeed Asil Gharebaghi; Miguel A. Salido; Adriana Giret","Mathematical Problems in Engineering",TRUE,"10.1155/2019/2482543",10.1155/2019/2482543,  19
"Humans","Students","Student psychology based optimization algorithm: A new population based optimization algorithm for solving optimization problems",2020,"Bikash Das; V. Mukherjee; Debapriya Das","Advances in Engineering Software",TRUE,"10.1016/j.advengsoft.2020.102804",10.1016/j.advengsoft.2020.102804,  16
"Hyenas",NA,"Spotted hyena optimizer: A novel bio-inspired based metaheuristic technique for engineering applications",2017,"Gaurav Dhiman; Vijay Kumar","Advances in Engineering Software",TRUE,"10.1016/j.advengsoft.2017.05.014",10.1016/j.advengsoft.2017.05.014, 261
"Invasive Weeds",NA,"A novel numerical optimization algorithm inspired from weed colonization",2006,"A.R. Mehrabian; C. Lucas","Ecological Informatics",TRUE,"10.1016/j.ecoinf.2006.07.003",10.1016/j.ecoinf.2006.07.003, 757
"Interior Design",NA,"Interior search algorithm ({ISA}): A novel approach for global optimization",2014,"Amir H. Gandomi","ISA Transactions",TRUE,"10.1016/j.isatra.2014.03.018",10.1016/j.isatra.2014.03.018, 226
"Ions",NA,"Ions motion algorithm for solving optimization problems",2015,"Behzad Javidy; Abdolreza Hatamlou; Seyedali Mirjalili","Applied Soft Computing",TRUE,"10.1016/j.asoc.2015.03.035",10.1016/j.asoc.2015.03.035,  96
"Jaguars",NA,"A Novel Metaheuristic: Jaguar Algorithm with Learning Behavior",2015,"Chin-Chi Chen; Yung-Che Tsai; I-I Liu; Chia-Chun Lai; Yi-Ting Yeh; Shu-Yu Kuo; Yao-Hsin Chou","2015 IEEE International Conference on Systems, Man, and Cybernetics",FALSE,"10.1109/smc.2015.282",10.1109/smc.2015.282,   7
"Keshtel Duck",NA,"Solving the integrated scheduling of production and rail transportation problem by Keshtel algorithm",2014,"M. Hajiaghaei-Keshteli; M. Aminnayeri","Applied Soft Computing",TRUE,"10.1016/j.asoc.2014.09.034",10.1016/j.asoc.2014.09.034,  41
"Kestrels",NA,"Kestrel-Based Search Algorithm for Association Rule Mining and Classification of Frequently Changed Items",2016,"Israel Edem Agbehadji; Richard Millham; Simon Fong","2016 8th International Conference on Computational Intelligence and Communication Networks (CICN)",FALSE,"10.1109/cicn.2016.76",10.1109/cicn.2016.76,   2
"Kidneys",NA,"Kidney-inspired algorithm for optimization problems",2017,"Najmeh Sadat Jaddi; Jafar Alvankarian; Salwani Abdullah","Communications in Nonlinear Science and Numerical Simulation",TRUE,"10.1016/j.cnsns.2016.06.006",10.1016/j.cnsns.2016.06.006,  52
"Krill",NA,"Krill herd: A new bio-inspired optimization algorithm",2012,"Amir Hossein Gandomi; Amir Hossein Alavi","Communications in Nonlinear Science and Numerical Simulation",TRUE,"10.1016/j.cnsns.2012.05.010",10.1016/j.cnsns.2012.05.010, 975
"Ladybirds",NA,"Seven-Spot Ladybird Optimization: A Novel and Efficient Metaheuristic Algorithm for Numerical Optimization",2013,"Peng Wang; Zhouquan Zhu; Shuai Huang","The Scientific World Journal",TRUE,"10.1155/2013/378515",10.1155/2013/378515,   8
"Lightning",NA,"Lightning search algorithm",2015,"Hussain Shareef; Ahmad Asrul Ibrahim; Ammar Hussein Mutlag","Applied Soft Computing",TRUE,"10.1016/j.asoc.2015.07.028",10.1016/j.asoc.2015.07.028, 172
